submissions = 29
roll_no 	 correctness 	 efficiency
CS5190471 	 30.0 		 11.63
CS1190344 	 30.0 		 1.25
MCS212124 	 0.0 		 0.0
CS5190435 	 30.0 		 10.89
CS1190408 	 30.0 		 25.57
CS1190337 	 30.0 		 23.09
AIB222681 	 30.0 		 0.09
CS1190379 	 30.0 		 1.0
AIB222686 	 0.0 		 0.0
AIY227513 	 4.66 		 0.0
AIB222684 	 0.0 		 0.0
MCS212127 	 13.47 		 0.0
MCS212149 	 0.0 		 0.0
CS1190431 	 30.0 		 13.86
AIB222673 	 0.0 		 0.0
MCS212142 	 30.0 		 0.05
CS1190365 	 30.0 		 23.37
CS1190382 	 30.0 		 13.68
ANZ218660 	 30.0 		 6.48
AIB222678 	 0.0 		 0.0
MCS212155 	 30.0 		 1.48
AIZ218323 	 30.0 		 20.23
CH7180313 	 0.0 		 0.0
MCS212138 	 30.0 		 10.66
AIB222687 	 2.19 		 0.0
CSY217585 	 0.0 		 0.0
CS5191077 	 30.0 		 15.0
MCS212128 	 0.03 		 0.0
CS1190334 	 17.0 		 0.17
